title,platform,Score,release_year
187 Ride or Die,Xbox,5,2005
1942 (Arcade),Wii,6,2011
1942: Joint Strike,PlayStation 3,7,2008
1942: Joint Strike,Xbox 360,7,2008
1950's Lawnmower Kids,Nintendo DSi,5,2011
1979 Revolution,PC,8,2016
1nsane,PC,7,2001
2 Fast 2 Furious,Wireless,8,2005
2 Xtreme,PlayStation Portable,2,2007
2002 FIFA World Cup,PC,9,2002
2002 FIFA World Cup,GameCube,8,2002
2002 FIFA World Cup,Xbox,8,2002
2002 FIFA World Cup,PlayStation 2,8,2002
2006 FIFA World Cup,PlayStation Portable,8,2006
2006 FIFA World Cup,Xbox 360,8,2006
2006 FIFA World Cup,PC,8,2006
2006 FIFA World Cup,Xbox,8,2006
2006 FIFA World Cup,GameCube,8,2006
2006 FIFA World Cup,PlayStation 2,8,2006
2006 FIFA World Cup,Nintendo DS,8,2006
2006 FIFA World Cup,Wireless,6,2006
2010 FIFA World Cup,iPhone,5,2010
2010 FIFA World Cup South Africa,PlayStation 3,8,2010
2010 FIFA World Cup South Africa,Xbox 360,8,2010
2010 FIFA World Cup South Africa,Wii,7,2010
2010 FIFA World Cup South Africa,PlayStation Portable,6,2010
2014 FIFA World Cup Brazil,PlayStation 3,8,2014
2014 FIFA World Cup Brazil,Xbox 360,8,2014
20Q,Wireless,8,2005
21 Pro Blackjack,iPhone,7,2008
24: Agent Down,Wireless,8,2007
24: Special Ops,Wireless,8,2008
24: Special Ops,iPhone,7,2009
24: The Game,Wireless,9,2006
24: The Game,PlayStation 2,4,2006
24/7 Solitaire,Nintendo DSi,8,2010
25 To Life,PC,3,2006
25 To Life,PlayStation 2,3,2006
25 To Life,Xbox,3,2006
2Bit,iPhone,8,2011
2XL ATV Offroad,iPhone,7,2009
2XL Supercross,iPhone,8,2009
3 Heroes -- Crystal Soul,Nintendo DSi,5,2012
3 on 3 NHL Arcade,PlayStation 3,6,2009
3 on 3 NHL Arcade,Xbox 360,6,2009
3 Xtreme,PlayStation,3,1999
3-2-1 Rattle Battle,Wii,5,2009
3-D Ultra NASCAR Pinball,PC,3,1999
3-D Ultra Pinball: Thrill Ride,PC,8,2000
3-D Ultra Pinball: Thrill Ride,Game Boy Color,5,2001
3-D Ultra Radio Control Racers,PC,6,1999
3-D Vector Pong,iPhone,6,2008
300: March to Glory,PlayStation Portable,6,2007
3D Brick Breaker Revolution,iPhone,7,2009
3D Classics: Excitebike,Nintendo 3DS,8,2011
3D Classics: Kirby's Adventure,Nintendo 3DS,8,2011
3D Classics: TwinBee,Nintendo 3DS,6,2011
3D Classics: Urban Champion,Nintendo 3DS,3,2011
3D Classics: Xevious,Nintendo 3DS,8,2011
3D Dot Game Heroes,PlayStation 3,9,2010
3D Good vs. Evil,iPhone,7,2009
3D Hunting Trophy Whitetail Championship 2009,iPhone,8,2009
3D Mahjong,Nintendo DSi,8,2010
3D Pixel Racing,Wii,6,2011
3D Pool,Wireless,7,2005
3D Pool Urban Hustle,Wireless,8,2005
3D Roller Coaster Designer,PC,3,2001
3D Rollercoaster Rush,iPhone,8,2009
3D Slam Ping Pong,Wireless,8,2004
3D Tilt-a-World,Wireless,8,2006
3D Ultra Minigolf Adventures,Xbox 360,8,2007
4 Elements,PC,8,2008
4 Elements HD,PlayStation 3,8,2011
4 Elements II,PC,8,2012
4 Travellers: Play French,Nintendo DSi,6,2010
4 Travellers: Play Spanish,Nintendo DSi,6,2010
4 Wheel Thunder,Dreamcast,8,2000
40 Winks,PlayStation,6,1999
4x4 EVO,PC,8,2000
4x4 EVO,Dreamcast,8,2000
4x4 EVO,PlayStation 2,5,2001
4x4 Evo 2,PC,8,2001
4x4 Evo 2,Xbox,7,2001
4x4 Evo 2,GameCube,5,2002
5 Arcade Gems,Wii,3,2010
5 Spots Party,Wii,5,2009
5-Card Draw Multiplayer,Wireless,8,2004
50 Cent: Blood on the Sand,PlayStation 3,7,2009
50 Cent: Blood on the Sand,Xbox 360,7,2009
50 Cent: Bulletproof,PlayStation 2,7,2005
50 Cent: Bulletproof,Xbox,7,2005
50 Cent: Bulletproof G Unit Edition,PlayStation Portable,5,2006
6 Shooter Showdown: Poker,Wireless,8,2005
7 Card Games,Nintendo DSi,5,2010
7 Days to Die,Xbox One,5,2016
7 Wonders,Wireless,7,2007
7 Wonders,iPad,7,2010
7 Wonders,PlayStation Portable,5,2007
7 Wonders of the Ancient World,Nintendo DS,7,2007
7 Wonders of the Ancient World,PlayStation 2,5,2007
7 Wonders: Treasures of Seven,PC,6,2008
767 Pilot In Command,PC,9,2001
80 Days,iPhone,9,2014
80 Days [2005],PC,7,2006
911 Fire Rescue,PC,6,2001
"999: 9 Hours, 9 Persons, 9 Doors",Nintendo DS,9,2010
99Bullets,Nintendo DSi,8,2011
A Bird Story,PC,9,2014
A Boy and His Blob,Wii,8,2009
A Boy and His Blob: Trouble on Blobolonia,Wii,5,2009
A Bug's Life,Nintendo 64,7,1999
A Bug's Life,PlayStation,4,1998
A Bug's Life,Game Boy Color,3,2000
A Collection of Intellivision Classic Games,PlayStation,4,1999
A Game of Thrones: Genesis,PC,6,2011
A Kappa's Trail,Nintendo DSi,9,2010
A Kingdom for Keflings,PC,9,2010
A Kingdom for Keflings,Xbox 360,8,2008
A Quiet Weekend in Capri,PC,6,2004
A Sound of Thunder,Game Boy Advance,8,2005
A Space Shooter for Two Bucks!,PlayStation Portable,9,2010
A Tale in the Desert,PC,9,2003
A Topsy Turvy Life: The Turvys Strike Back,Nintendo DSi,8,2010
A Topsy Turvy Life: Turvy Drops,Nintendo DSi,7,2010
A Valley Without Wind,PC,6,2012
A Vampyre Story,PC,8,2008
A Virus Named Tom,PC,7,2012
A Witch's Tale,Nintendo DS,6,2009
A World of Keflings,Xbox 360,8,2010
A-Train,PlayStation,6,1996
A.D.D.,iPhone,8,2009
A.P.B.,Lynx,9,1999
A.R.E.S.: Extinction Agenda,PC,8,2011
Aaru's Awakening,PC,7,2015
Abomination: The Nemesis Project,PC,5,1999
Above,iPhone,8,2010
Absolute BrickBuster,Nintendo DSi,7,2010
Absolute Chess,Nintendo DSi,8,2010
Absolute Minesweeper,Wireless,7,2006
Absolute Reversi,Nintendo DSi,7,2010
Abyss Odyssey,Xbox 360,7,2014
Abyss Odyssey,PC,7,2014
Abyss Odyssey,PlayStation 3,7,2014
Abzu,PlayStation 4,8,2016
AC/DC Live: Rock Band Track Pack,Xbox 360,7,2008
AC/DC Live: Rock Band Track Pack,PlayStation 3,7,2008
AC/DC Live: Rock Band Track Pack,PlayStation 2,6,2008
AC/DC Live: Rock Band Track Pack,Wii,6,2009
Academy of Champions Soccer,Wii,7,2009
Academy: Checkers,Nintendo DSi,7,2011
Ace Attorney Investigations: Miles Edgeworth,Nintendo DS,8,2010
Ace Combat 2,PlayStation,9,1997
Ace Combat 3: Electrosphere,PlayStation,9,2000
Ace Combat 4: Shattered Skies,PlayStation 2,9,2001
Ace Combat 5: The Unsung War,PlayStation 2,9,2004
Ace Combat 6 (Game & ACE-EDGE Flightstick),Xbox 360,8,2007
Ace Combat 6: Fires of Liberation,Xbox 360,8,2007
Ace Combat Advance,Game Boy Advance,5,2005
Ace Combat Assault Horizon,PlayStation 3,8,2011
Ace Combat Assault Horizon,Xbox 360,8,2011
Ace Combat Assault Horizon Legacy,Nintendo 3DS,8,2011
Ace Combat X: Skies of Deception,PlayStation Portable,9,2006
Ace Combat Xi,iPhone,7,2009
Ace Combat Zero: The Belkan War,PlayStation 2,9,2006
Ace Combat: Joint Assault,PlayStation Portable,7,2010
Ace of Spades,PC,6,2013
Ace Yeti Trapper,Wireless,8,2004
Aces of the Galaxy,Xbox 360,8,2008
Aces of the Galaxy,PC,8,2008
Aces of WWI,Wireless,8,2004
Achron,PC,5,2011
Act of War: Direct Action,PC,9,2005
Action Bass,PlayStation,5,2000
Action Blox,iPhone,6,2008
Action Girlz Racing,Wii,1,2009
Action Man,Game Boy Color,6,2001
Action Octopus 3D,Wireless,3,2006
Active Life: Extreme Challenge,Wii,5,2009
Activision Anthology,PlayStation 2,9,2002
Activision Anthology,Game Boy Advance,9,2003
Activision Classics,PlayStation,2,1998
Activision Hits Remixed,PlayStation Portable,8,2006
ActRaiser,Wii,8,2007
ActRaiser,Super NES,8,2007
ActRaiser,Wireless,7,2004
ActRaiser 2,Super NES,8,2008
Addiction Pinball,PC,8,1998
Adidas Power Soccer,PlayStation,7,1996
Adios Amoebas,Wireless,6,2003
Adr1ft,PC,6,2016
Adr1ft [VR Edition],PC,7,2016
Adrenalin Misfits,Xbox 360,5,2010
Advance Guardian Heroes,Game Boy Advance,6,2004
Advance Wars,Game Boy Advance,10,2001
Advance Wars 2: Black Hole Rising,Game Boy Advance,9,2003
Advance Wars: Days of Ruin,Nintendo DS,9,2008
Advance Wars: Dual Strike,Nintendo DS,9,2005
Advanced Circuits,Nintendo DSi,7,2010
Advanced Dungeons & Dragons: Iron & Blood -- Warriors of Ravenloft,PlayStation,4,1996
Advent Rising,Xbox,8,2005
Advent Rising,PC,8,2005
Adventure Island,Nintendo 3DS,8,2011
Adventure Island,NES,6,2007
Adventure Island,Wii,6,2007
Adventure Island: The Beginning,Wii,7,2009
Adventure Pinball: Forgotten Island,PC,7,2001
Adventure Time: Explore the Dungeon Because I Don't Know!,PlayStation 3,4,2013
Adventure Time: Explore the Dungeon Because I Don't Know!,Wii U,4,2013
Adventure Time: Explore the Dungeon Because I Don't Know!,PC,4,2013
Adventure Time: Explore the Dungeon Because I Don't Know!,Xbox 360,4,2013
Adventure Time: Explore the Dungeon Because I Don't Know!,Nintendo 3DS,4,2013
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?,Nintendo 3DS,9,2012
Adventures of Lolo,Wii,8,2007
Adventures of Lolo,NES,8,2007
Adventures of Lolo 2,NES,8,2008
Adventures of Lolo 2,Wii,8,2008
Adventures of Sherlock Holmes: The Silver Earring,PC,8,2004
Adventures to Go,PlayStation Portable,7,2009
Aedis Eclipse ~Generation of Chaos~,PlayStation Portable,7,2007
Aeon Flux,Xbox,8,2005
Aeon Flux,PlayStation 2,8,2005
Aera,iPhone,7,2009
Aerial Strike: Low Altitude -- High Stakes,PC,6,2005
Aero Elite: Combat Academy,PlayStation 2,7,2003
Aero Gauge,Nintendo 64,5,1998
Aero the Acrobat,Game Boy Advance,8,2002
Aero the Acrobat,Wii,8,2010
Aero the Acrobat 2,Wii,7,2010
AeroFighters Assault,Nintendo 64,5,1997
Aerolite,iPhone,7,2008
AeroWings,Dreamcast,8,1999
AeroWings 2: Air Strike,Dreamcast,8,2000
AFL Live,PlayStation 3,6,2011
Afrika,PlayStation 3,4,2009
Afro Samurai,PlayStation 3,7,2009
Afro Samurai,Xbox 360,7,2009
After Burner Climax,Xbox 360,8,2010
After Burner II,Wireless,5,2005
After Burner: Black Falcon,PlayStation Portable,8,2007
Afterfall: Insanity,PC,5,2012
AfterZoom,Nintendo DSi,8,2011
Again,Nintendo DS,5,2010
Agatha Christie: And Then There Were None,PC,7,2005
Agatha Christie: And Then There Were None,Wii,5,2008
Agatha Christie: Death on the Nile,PC,5,2008
Agatha Christie: Evil Under the Sun,PC,6,2007
Agatha Christie: Evil Under the Sun,Wii,5,2008
Agatha Christie: Murder on the Orient Express,PC,6,2006
Age of Booty,Xbox 360,8,2008
Age of Booty,PlayStation 3,8,2008
Age of Booty,PC,6,2009
Age of Conan: Hyborian Adventures (Collector's Edition),PC,8,2008
Age of Conan: Rise of the Godslayer,PC,8,2010
Age of Empires,Macintosh,7,2002
Age of Empires II: The Age of Kings,PC,9,1999
Age of Empires II: The Conquerors,PC,8,2000
Age of Empires III,PC,9,2005
Age of Empires III: The Asian Dynasties,PC,8,2007
Age of Empires III: The WarChiefs,PC,8,2006
Age of Empires Online,PC,7,2011
Age of Empires: Mythologies,Nintendo DS,9,2008
Age of Empires: The Age of Kings,Nintendo DS,8,2006
Age of Mythology,PC,9,2002
Age of Mythology: The Titans,PC,9,2003
Age of Pirates 2: City of Abandoned Ships,PC,6,2009
Age of Pirates: Caribbean Tales,PC,8,2006
Age of Sail II,PC,8,2001
Age of Wonders,PC,9,1999
Age of Wonders II: The Wizard's Throne,PC,9,2002
Age of Wonders III,PC,7,2014
Age of Wonders: Shadow Magic,PC,9,2003
Age of Wushu,PC,7,2013
Age of Zombies,PlayStation Portable,9,2010
Age of Zombies,iPhone,9,2010
AGEOD's American Civil War: 1861-1865 -- The Blue and the Gray,PC,6,2008
Aggressive Inline,PlayStation 2,9,2002
Aggressive Inline,Xbox,9,2002
Aggressive Inline,GameCube,9,2002
Aggressive Inline,Game Boy Advance,7,2002
Agile Warrior F-111X,PlayStation,2,1996
Aha! I Found it! Hidden Object Game,Wii,3,2010
Aha! I Got It! Escape Game,Wii,7,2009
AI Wars: The Awakening,PC,6,2000
Aidyn Chronicles: The First Mage,Nintendo 64,4,2001
Aion,PC,9,2009
Air Combat,PlayStation,7,1996
Air Command 3.0,PC,7,2001
Air Conflicts: Aces of World War II,PlayStation Portable,2,2009
Air Conflicts: Secret Wars,Xbox 360,6,2011
Air Conflicts: Vietnam,PlayStation 3,4,2013
Air Conflicts: Vietnam,Xbox 360,4,2013
Air Conflicts: Vietnam,PC,4,2013
Air Diver,Genesis,4,2008
Air Hockey-e,Game Boy Advance,6,2002
Air Penguin,iPhone,8,2011
Air Raid: This is Not a Drill,PC,2,2003
Air Strike 1944,Wireless,7,2006
Air Traffic Chaos,Nintendo DS,7,2008
Air Wars,Wireless,7,2004
Air Zonk,TurboGrafx-16,8,2007
Air Zonk,Wii,8,2007
AiRace,Nintendo DSi,8,2010
AirBlade,PlayStation 2,8,2002
Airborne Troops: Countdown to D-Day,PlayStation 2,4,2005
AirBuccaneers,PC,8,2012
Airfix Dogfighter,PC,8,2001
AirForce Delta,Dreamcast,8,1999
AirForce Delta,Game Boy Color,4,2000
AirForce Delta Storm,Game Boy Advance,7,2002
AirForce Delta Storm,Xbox,6,2001
AirForce Delta Strike,PlayStation 2,6,2004
Airline Tycoon,PC,8,2001
AirMech Arena,Xbox 360,6,2014
Airport Tycoon,PC,3,2000
Airport Tycoon 2,PC,3,2003
Airport Tycoon 3,PC,4,2004
Akai Katana,Xbox 360,7,2012
Akaneiro: Demon Hunters,PC,5,2013
Akimi Village,PlayStation 3,7,2011
Akuji The Heartless,PlayStation,8,1999
Akuma: Demon Spawn,PC,4,1999
Aladdin,Genesis,8,2008
Aladdin,Game Boy Advance,7,2004
Aladdin,Game Boy Advance,7,2004
Aladdin,Game Boy Color,6,2000
Aladdin in Nasira's Revenge,PlayStation,6,2001
Alan Probe: Amateur Surgeon,iPhone,8,2009
Alan Wake,Xbox 360,9,2010
Alan Wake,PC,9,2012
Alan Wake: The Signal,Xbox 360,9,2010
Alan Wake: The Writer,Xbox 360,8,2010
Alan Wake's American Nightmare,Xbox 360,8,2012
Alan Wake's American Nightmare,PC,8,2012
Alekhine's Gun,PC,3,2016
Aleste,Wireless,8,2004
Alex Kidd in Miracle World,Master System,9,2008
Alex Kidd in Miracle World,Wii,9,2008
Alex Kidd in the Enchanted Castle,Wii,5,2007
Alex Kidd: The Lost Stars,Master System,5,2008
Alex Kidd: The Lost Stars,Wii,5,2009
Alex Rider: Stormbreaker,Nintendo DS,4,2006
Alex the Ant,Wireless,7,2004
Alexander,PC,7,2004
Alexi Lalas International Soccer,PlayStation,6,1999
Alfa Romeo Racing Italiano,PlayStation 2,4,2006
Alfred Hitchcock Presents: The Final Cut,PC,6,2002
Alias,Xbox,7,2004
Alias,PlayStation 2,7,2004
Alice in Wonderland [2000],Game Boy Color,8,2000
Alice in Wonderland: The Movie,iPhone,7,2010
Alice in Wonderland: The Movie,Wii,7,2010
Alice: Madness Returns,Xbox 360,7,2011
Alice: Madness Returns,PC,7,2011
Alice: Madness Returns,PlayStation 3,7,2011
Alien Blast: The Encounter,PC,4,2004
Alien Breed 2: Assault,Xbox 360,8,2010
Alien Breed 2: Assault,PC,8,2010
Alien Breed 3: Descent,PC,7,2011
Alien Breed 3: Descent,PlayStation 3,7,2011
Alien Breed 3: Descent,Xbox 360,7,2010
Alien Breed Evolution,Xbox 360,8,2009
Alien Breed Impact,PlayStation 3,8,2010
Alien Crush,TurboGrafx-16,7,2006
Alien Crush,Wii,7,2006
Alien Crush Returns,Wii,8,2008
Alien Front Online,Dreamcast,9,2001
Alien Havoc,PlayStation Portable,5,2009
Alien Hominid,Xbox 360,9,2007
Alien Hominid,GameCube,8,2004
Alien Hominid,PlayStation 2,8,2004
Alien Rage,PC,4,2013
Alien Resurrection,PlayStation,7,2000
Alien Shooter 2: Reloaded,PC,8,2009
Alien Shooter: Revisited,PC,7,2009
Alien Shooter: Vengeance,PC,8,2007
Alien Soldier,Genesis,8,2007
Alien Soldier,Wii,8,2007
Alien Storm,Genesis,7,2008
Alien Storm,Wii,7,2008
Alien Syndrome,PlayStation Portable,6,2007
Alien Syndrome,Wii,6,2007
Alien Trilogy,PlayStation,8,1996
Alien vs. Predator,Wireless,6,2004
Alien Zombie Death,PlayStation Portable,9,2010
Alien Zombie Megadeath,PlayStation 3,9,2011
Alien: Isolation,PC,6,2014
Alien: Isolation,PlayStation 4,6,2014
Alien: Isolation,Xbox One,6,2014
Aliens vs. Predator,Xbox 360,7,2010
Aliens vs. Predator,PlayStation 3,7,2010
Aliens vs. Predator,PC,7,2010
Aliens vs. Predator [1999],PC,8,1999
Aliens vs. Predator 2,PC,8,2001
Aliens vs. Predator 2: Primal Hunt,PC,6,2002
Aliens vs. Predator 3D,Wireless,7,2006
Aliens vs. Predator: Extinction,Xbox,6,2003
Aliens vs. Predator: Extinction,PlayStation 2,6,2003
Aliens vs. Predator: Requiem,PlayStation Portable,6,2007
Aliens: Colonial Marines,Xbox 360,5,2013
Aliens: Colonial Marines,PC,5,2013
Aliens: Colonial Marines,PlayStation 3,5,2013
Aliens: Infestation,Nintendo DS,8,2011
Aliens: Unleashed,Wireless,7,2003
All Star Cheer Squad 2,Wii,7,2009
All Star Tennis '99,Nintendo 64,7,1999
All Zombies Must Die,PlayStation 3,7,2012
All Zombies Must Die,Xbox 360,7,2012
All-In-1 Gamebox,iPhone,7,2010
All-Pro Football 2K8,Xbox 360,8,2007
All-Pro Football 2K8,PlayStation 3,8,2007
All-Star Baseball '97 Featuring Frank Thomas,PlayStation,5,1997
All-Star Baseball '99,Nintendo 64,8,1998
All-Star Baseball 2000,Nintendo 64,9,1999
All-Star Baseball 2000,Game Boy Color,6,2000
All-Star Baseball 2001,Nintendo 64,9,2000
All-Star Baseball 2001,Game Boy Color,6,2000
All-Star Baseball 2002,PlayStation 2,8,2001
All-Star Baseball 2002,GameCube,7,2001
All-Star Baseball 2003,PlayStation 2,9,2002
All-Star Baseball 2003,Xbox,9,2002
All-Star Baseball 2003,GameCube,8,2002
All-Star Baseball 2003,Game Boy Advance,8,2002
All-Star Baseball 2004,Game Boy Advance,8,2003
All-Star Baseball 2004,PlayStation 2,8,2003
All-Star Baseball 2004,GameCube,8,2003
All-Star Baseball 2004,Xbox,8,2003
All-Star Baseball 2005,PlayStation 2,8,2004
All-Star Baseball 2005,Xbox,8,2004
Allegiance,PC,8,2000
Alleyway,Nintendo 3DS,6,2011
Alone in the Dark,Xbox 360,4,2008
Alone in the Dark,PC,4,2008
Alone in the Dark,PlayStation 2,3,2008
Alone in the Dark,Wii,3,2008
Alone in the Dark: Inferno,PlayStation 3,7,2008
Alone in the Dark: One Eyed Jack's Revenge,PlayStation,6,1996
Alone in the Dark: The New Nightmare,PC,8,2001
Alone in the Dark: The New Nightmare,Dreamcast,7,2001
Alone in the Dark: The New Nightmare,Game Boy Color,4,2001
Alone: The Horror Begins,Wireless,9,2005
Alpha Black Zero: Intrepid Protocol,PC,6,2004
Alpha Bounce,Nintendo DSi,9,2010
Alpha Protocol,PC,6,2010
Alpha Protocol,Xbox 360,6,2010
Alpha Wing,Wireless,9,2003
Alpha Wing 2,Wireless,8,2006
Alter Echo,PlayStation 2,7,2003
Alter Echo,Xbox,7,2003
Altered Beast,iPhone,6,2010
Altered Beast,Wii,5,2007
Altered Beast,Genesis,5,2007
Altered Beast,Xbox 360,5,2009
Altered Beast,Arcade,4,2009
Altered Beast (Arcade),Wii,4,2009
Altered Beast: Guardian of the Realms,Game Boy Advance,8,2002
Alternate Endings,iPhone,9,2008
Alundra,PlayStation,9,1998
Alundra 2,PlayStation,8,2000
Alvin and the Chipmunks,Nintendo DS,5,2007
Alvin and the Chipmunks,Wii,2,2007
Alvin and the Chipmunks,PlayStation 2,2,2007
Alvin and the Chipmunks,PC,2,2008
AMA Superbike,PC,5,1999
Amazing Adventures: The Forgotten Ruins,Nintendo DS,8,2008
Amazing Island,GameCube,7,2004
Amazon: Hidden Expedition,iPad,8,2010
Amazons & Aliens,PC,4,2000
America,PC,5,2001
America's Army,PC,9,2002
America's Army 3,PC,8,2009
America's Army: Rise of a Soldier,Xbox,6,2005
America's Army: True Soldiers,Xbox 360,4,2007
America's Test Kitchen: Let's Get Cooking,Nintendo DS,9,2010
American Bass Challenge,Game Boy Advance,8,2001
American Chopper 2: Full Throttle,PlayStation 2,6,2006
American Chopper 2: Full Throttle,GameCube,6,2006
American Chopper 2: Full Throttle,Xbox,6,2006
American Conquest,PC,8,2003
American Conquest: Divided Nation,PC,6,2006
American Conquest: Fight Back,PC,8,2003
American Dragon: Jake Long -- Attack of the Dark Dragon,Nintendo DS,7,2006
American Dragon: Jake Long -- Rise of the Huntsclan,Game Boy Advance,6,2006
American Gangster: The Mobile Game,Wireless,7,2007
American Girl: Julie Finds A Way,Nintendo DS,4,2008
American Girl: Kit -- Mystery Challenge,Nintendo DS,4,2008
American Hunting Volume 1: Varmint Hunter,PC,1,2002
American Idol,PlayStation 2,4,2003
American Idol: The Search For A Superstar,PC,3,2004
American McGee Presents Scrapland,PC,8,2004
American McGee Presents Scrapland,Xbox,8,2005
American McGee's Alice,PC,9,2000
American McGee's Crooked House,iPhone,6,2010
American McGee's Grimm: A Boy Learns What Fear Is,PC,6,2008
American McGee's Grimm: Beauty and the Beast,PC,6,2008
American McGee's Grimm: Godfather Death,PC,6,2008
American McGee's Grimm: Little Red Riding Hood,PC,6,2008
American McGee's Grimm: Puss in Boots,PC,6,2008
American McGee's Grimm: The Devil and His Three Golden Hairs,PC,6,2008
American McGee's Grimm: The Fisherman and His Wife,PC,6,2008
American McGee's Grimm:The Girl Without Hands,PC,6,2008
American Popstar: Road to Celebrity,Wireless,9,2007
American Popstar: Road to Celebrity,Nintendo DSi,4,2009
Amerzone: The Explorer's Legacy,PC,6,1999
AMF Bowling 2004,Xbox,5,2004
AMF Bowling Deluxe 3D,Wireless,7,2007
AMF Bowling World Lanes,Wii,3,2008
AMF Bowling: Pinbusters,Nintendo DS,5,2008
AMF Bowling: Pinbusters,Wii,2,2008
AMF Xtreme Bowling,Game Boy Color,7,2000
AMF Xtreme Bowling 2006,Xbox,2,2006
AMF Xtreme Bowling 2006,PlayStation 2,2,2006
AMF Xtreme Bowling for Prizes,Wireless,5,2005
Amnesia: A Machine for Pigs,PC,8,2013
Amnesia: The Dark Descent,PC,9,2010
Among the Sleep,PC,7,2014
Amped 2,Xbox,9,2003
Amped 3,Xbox 360,7,2005
Amped: Freestyle Snowboarding,Xbox,9,2001
Amplitude,PlayStation 4,7,2016
Amplitude [2003],PlayStation 2,9,2003
Amplitude: P.O.D. Special Edition,PlayStation 2,7,2003
Amy,Xbox 360,2,2012
Amy,PlayStation 3,2,2012
Amy's Jigsaw Scrapbook,Wireless,7,2006
Anachronox,PC,8,2001
Analogue: A Hate Story,PC,7,2012
Anarchy Online,PC,7,2001
Anarchy Online: Alien Invasion,PC,8,2004
Anarchy Online: Shadowlands,PC,9,2003
Anarchy Online: The Notum Wars,PC,9,2002
Anarchy Reigns,Xbox 360,6,2013
Anarchy Reigns,PlayStation 3,6,2013
Anarchy: Rush Hour,PlayStation 3,7,2010
Ancient Empires,Wireless,9,2004
Ancient Empires II,Wireless,9,2005
Ancient Quest of Saqqarah,PC,7,2008
Ancient Ruins 1: The Crypt of the King,Wireless,6,2004
Ancient Space,PC,7,2014
Ancient Tribe,Nintendo DSi,6,2010
Ancient Wars: Sparta,PC,6,2007
Ancients of Ooga,Xbox 360,8,2010
AND 1 Streetball,Wireless,8,2006
AND 1 Streetball,Xbox,4,2006
AND 1 Streetball,PlayStation 2,4,2006
And Yet It Moves,PC,8,2009
And Yet It Moves,Wii,8,2010
Andretti Racing,PlayStation,8,1996
Angry Birds,iPhone,8,2010
Angry Birds,PlayStation Portable,8,2011
Angry Birds 2,iPhone,7,2015
Angry Birds Go!,iPhone,5,2013
Angry Birds Go!,Android,5,2013
Angry Birds Halloween HD,iPad,8,2010
Angry Birds Rio,Android,9,2011
Angry Birds Rio,iPhone,9,2011
Angry Birds Seasons,iPhone,8,2010
Angry Birds Space,iPhone,9,2012
Angry Birds Star Wars,iPhone,9,2012
Angry Birds Trilogy,Nintendo 3DS,7,2012
Angry Birds Trilogy,Xbox 360,7,2012
Angry Birds Trilogy,PlayStation 3,7,2012
Angry Business Man,iPhone,6,2011
Anima: Ark of Sinners,Wii,6,2011
Animal Boxing,Nintendo DS,6,2008
